pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,timestamp,event_id,aqi,hour,day,month,weekday,pm2_5_lag1,pm2_5_lag2,pm2_5_roll3
26.8,36.3,495.0,15.7,24.7,137.0,2026-02-13 12:00:00+00:00,1770984000,81.91416309012877,12,13,2,4,42.1,45.5,38.13333333333333
26.2,35.5,576.0,25.6,21.9,109.0,2026-02-13 13:00:00+00:00,1770987600,80.65236051502146,13,13,2,4,26.8,42.1,31.7
28.3,38.4,697.0,39.2,18.0,72.0,2026-02-13 14:00:00+00:00,1770991200,85.06866952789701,14,13,2,4,26.2,26.8,27.099999999999998
30.0,41.9,796.0,48.0,14.9,44.0,2026-02-13 15:00:00+00:00,1770994800,88.64377682403433,15,13,2,4,28.3,26.2,28.166666666666668
29.7,42.6,870.0,48.0,13.7,37.0,2026-02-13 16:00:00+00:00,1770998400,88.01287553648069,16,13,2,4,30.0,28.3,29.333333333333332
29.2,42.1,921.0,43.3,13.4,40.0,2026-02-13 17:00:00+00:00,1771002000,86.96137339055795,17,13,2,4,29.7,30.0,29.633333333333336
29.0,40.7,896.0,38.0,12.9,44.0,2026-02-13 18:00:00+00:00,1771005600,86.54077253218884,18,13,2,4,29.2,29.7,29.3
28.3,38.4,727.0,32.9,11.8,47.0,2026-02-13 19:00:00+00:00,1771009200,85.06866952789701,19,13,2,4,29.0,29.2,28.833333333333332
26.1,34.5,481.0,27.2,10.5,52.0,2026-02-13 20:00:00+00:00,1771012800,80.44206008583691,20,13,2,4,28.3,29.0,27.8
23.3,30.0,304.0,22.3,9.6,55.0,2026-02-13 21:00:00+00:00,1771016400,74.55364806866953,21,13,2,4,26.1,28.3,25.900000000000002
21.0,26.4,201.0,17.5,8.9,57.0,2026-02-13 22:00:00+00:00,1771020000,69.71673819742489,22,13,2,4,23.3,26.1,23.46666666666667
19.3,23.8,168.0,13.5,8.5,58.0,2026-02-13 23:00:00+00:00,1771023600,66.14163090128756,23,13,2,4,21.0,23.3,21.2
21.6,28.2,332.0,15.7,9.4,51.0,2026-02-14 00:00:00+00:00,1771027200,70.9785407725322,0,14,2,5,19.3,21.0,20.633333333333333
